,Min EVI,Max EVI,Mean EVI,Standard Deviation EVI,Median EVI,Count
2021-01-09 18:57:51,-0.04009238,0.4605216,0.1705417,0.056567386,0.16485187,13157
2021-01-14 18:57:29,0.03261404,0.44521067,0.1703826,0.05812239,0.16221467,13168
2021-01-16 18:45:26,0.03213295,0.49313956,0.18570216,0.059118953,0.17750762,13188
2021-01-17 19:07:29,0.025769897,0.4898797,0.17127815,0.061588753,0.15995187,13198
2021-01-19 18:57:11,0.024551423,0.47175455,0.17563018,0.05823333,0.1646356,13249
2021-01-23 18:51:36,0.010961946,0.54296505,0.18009962,0.06967634,0.16899745,13182
2021-02-06 19:05:49,0.035619754,0.5570234,0.19285218,0.077617265,0.17156768,13080
2021-02-13 18:54:59,0.020015847,0.62471837,0.20612726,0.086149655,0.18800013,13141
2021-02-16 19:04:39,-0.013323248,0.64368045,0.20840617,0.08770388,0.18758005,13167
2021-02-17 18:45:20,0.026234254,0.7165661,0.22247767,0.09159914,0.20147511,13121
2021-02-21 19:04:11,0.011757664,0.71498346,0.22060682,0.09091744,0.1971086,13179
2021-02-23 18:53:49,0.03804755,0.71791327,0.2246251,0.091106884,0.2001794,13198
2021-02-24 18:51:28,0.022907687,0.7791838,0.22556457,0.09510418,0.20053539,13164
2021-02-26 19:03:39,0.0036814348,0.74948037,0.22308405,0.09176821,0.19756058,13211
2021-02-28 18:53:21,0.0343649,0.75663424,0.2283607,0.091051325,0.20385554,13221
2021-03-05 18:45:13,0.01313778,0.858416,0.23498449,0.08467649,0.21564186,12658
2021-03-05 18:52:39,0.015321561,0.72209775,0.2274138,0.08128677,0.20769572,13294
2021-03-12 18:51:20,0.012764672,0.9377915,0.24823062,0.101305924,0.23076609,13170
2021-03-13 19:01:51,0.038834564,0.87324744,0.25108337,0.099310555,0.23183024,13121
2021-03-15 18:50:39,0.2038053,0.6972134,0.40580463,0.09376201,0.38701686,734
2021-03-20 18:50:51,0.043456525,0.8649782,0.26464626,0.10391372,0.24761486,13177
2021-03-21 18:45:05,-0.006821917,0.90524685,0.27258584,0.09931264,0.25725496,13182
2021-03-23 19:00:41,0.038840573,0.9019887,0.2774786,0.105349675,0.2588536,13006
2021-03-25 18:49:29,0.03845553,0.8821223,0.27696332,0.10480923,0.26096398,13225
2021-03-28 18:51:15,0.006719809,0.99822474,0.29195917,0.110388115,0.27875262,13203
2021-03-28 18:59:39,0.02440976,0.9109086,0.28866294,0.10831456,0.27609086,13248
2021-03-30 18:49:41,0.057684068,0.76297104,0.291695,0.10409934,0.28283072,13255
2021-04-02 18:59:21,0.051642317,0.6742295,0.2974987,0.09851625,0.3000914,13291
2021-04-04 18:49:19,0.16750947,0.72236925,0.4114671,0.12061583,0.40991688,218
2021-04-06 18:45:01,0.022400815,0.73167753,0.32744318,0.10929857,0.32725427,13227
2021-04-07 18:59:19,0.04553057,0.7283947,0.3156407,0.10251544,0.31921497,13746
2021-04-09 18:49:11,0.055052042,0.7479032,0.33039486,0.102836736,0.3288133,13265
2021-04-12 18:59:11,0.032056026,0.7108727,0.34897438,0.103016384,0.35107982,13263
2021-04-13 18:51:09,-0.0077597005,0.6781471,0.35202685,0.10565473,0.3526532,13228
2021-04-14 18:49:19,0.055378847,0.6829858,0.36046332,0.10480796,0.35728794,13250
2021-04-17 18:59:09,0.06053634,0.68596494,0.38027915,0.10329877,0.3790673,13254
2021-04-19 18:49:11,0.05472008,0.72211915,0.4057633,0.1083779,0.4067939,13255
2021-04-22 18:44:54,0.019640319,0.7568375,0.43687075,0.1188077,0.4506355,13232
2021-04-22 18:59:11,0.027772404,0.7480407,0.42736787,0.1094722,0.44052097,13299
2021-04-27 18:59:09,0.030002415,0.7454922,0.43620715,0.11842557,0.45370206,12981
2021-04-29 18:49:21,0.536641,0.609752,0.57455635,0.025077827,0.5778328,12
2021-04-29 18:51:01,0.012586534,0.74878305,0.46093565,0.12584743,0.4791136,13233
2021-05-02 18:59:11,0.023381747,0.7207644,0.4486063,0.1298648,0.4676928,13356
2021-05-04 18:49:19,0.033308532,0.7600453,0.4688552,0.13732694,0.48542988,13237
2021-05-07 18:59:19,0.011915037,0.72799253,0.452087,0.14200214,0.46752864,13436
2021-05-08 18:44:47,-0.0015154575,0.7918084,0.4760637,0.15122579,0.48704025,13259
2021-05-09 18:49:21,0.0229609,0.73964393,0.45493263,0.14787051,0.46855032,13504
2021-05-12 18:59:21,0.02306694,0.7171179,0.42323473,0.13608614,0.4341628,13304
2021-05-14 18:49:19,0.05098571,0.77685416,0.47945565,0.15773347,0.4950005,13256
2021-05-15 18:51:03,0.037858743,0.42974937,0.24411228,0.06791223,0.23998715,832
2021-05-17 18:59:19,0.027281735,0.73302656,0.44062287,0.15554753,0.4596492,13632
2021-05-19 18:49:21,0.053804345,0.7577128,0.46763906,0.15874687,0.48422775,13248
2021-05-22 18:59:21,0.018898359,0.77468574,0.45758703,0.16059807,0.4733252,13426
2021-05-24 18:44:57,0.023744741,0.85005605,0.4888172,0.17093533,0.5042792,13219
2021-05-24 18:49:19,0.04103312,0.74299484,0.44526908,0.1572925,0.45043394,10231
2021-05-27 18:59:19,0.0019712641,0.79020625,0.45375893,0.1552417,0.47055984,13416
2021-05-29 18:49:21,0.04399944,0.7935288,0.47145212,0.15468022,0.48686916,13265
2021-05-31 18:51:12,0.0046869237,0.8597779,0.46541584,0.1572283,0.4815373,13214
2021-06-01 18:59:21,0.041640546,0.7417804,0.439285,0.14139588,0.45892155,13197
2021-06-03 18:49:19,0.0519031,0.8211228,0.47191578,0.15673018,0.4875519,13248
2021-06-06 18:59:19,-0.0019509243,0.8213168,0.44542003,0.15581216,0.4673162,13415
2021-06-08 18:49:21,0.022185016,0.8146403,0.46297732,0.15390778,0.47880888,13292
2021-06-09 18:45:05,0.0030214516,0.8292024,0.444553,0.15997216,0.46205014,10454
2021-06-11 18:59:21,0.003804694,0.7811468,0.4609802,0.14598994,0.4818102,12003
2021-06-13 18:49:19,0.030661412,0.8338085,0.4643276,0.15732363,0.48098153,13259
2021-06-16 18:51:18,0.012070019,0.88597333,0.45337388,0.15750206,0.47137162,13212
2021-06-16 18:59:19,0.0006373278,0.83476675,0.44140074,0.15458757,0.46124396,13367
2021-06-18 18:49:21,0.038775217,0.826076,0.45919394,0.15960221,0.4770331,13253
2021-06-21 18:59:21,0.0074413707,0.8121812,0.4310894,0.16042899,0.45183164,13594
2021-06-23 18:49:19,0.023794359,0.8167918,0.45349443,0.16051751,0.4707933,13254
2021-06-25 18:45:09,0.025348535,0.88030374,0.4696853,0.17015928,0.48253363,13229
2021-06-26 18:59:19,0.008647986,0.81975883,0.4403651,0.15697506,0.45981452,13383
