Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 840
Submitting 840 granules to the pool...
[1/840] [7] HLS.S30.T10TCL.2021092T185921.v2.0: wrote 8 files
[2/840] [4] HLS.S30.T10TFL.2021092T185921.v2.0: wrote 8 files
[3/840] [5] HLS.S30.T10TEL.2021092T185921.v2.0: wrote 8 files
[4/840] [6] HLS.S30.T10TDL.2021092T185921.v2.0: wrote 8 files
[5/840] [3] HLS.S30.T10TCM.2021092T185921.v2.0: wrote 8 files
[6/840] [10] HLS.L30.T10TCL.2021094T185700.v2.0: wrote 8 files
[7/840] [12] HLS.L30.T10TEL.2021094T185700.v2.0: wrote 8 files
[8/840] [11] HLS.L30.T10TDL.2021094T185700.v2.0: wrote 8 files
[9/840] [0] HLS.S30.T10TFM.2021092T185921.v2.0: wrote 8 files
[10/840] [1] HLS.S30.T10TEM.2021092T185921.v2.0: wrote 8 files
[11/840] [2] HLS.S30.T10TDM.2021092T185921.v2.0: wrote 8 files
[12/840] [13] HLS.L30.T10TCM.2021094T185700.v2.0: wrote 8 files
[13/840] [8] HLS.L30.T10TDM.2021094T185636.v2.0: wrote 8 files
[14/840] [18] HLS.S30.T11TKF.2021094T184919.v2.0: wrote 8 files
[15/840] [9] HLS.L30.T10TEM.2021094T185636.v2.0: wrote 8 files
[16/840] [19] HLS.S30.T10TGL.2021094T184919.v2.0: wrote 8 files
[17/840] [14] HLS.S30.T10TGM.2021094T184919.v2.0: wrote 8 files
[18/840] [15] HLS.S30.T11TKG.2021094T184919.v2.0: wrote 8 files
[19/840] [20] HLS.S30.T10TFL.2021094T184919.v2.0: wrote 8 files
[20/840] [21] HLS.S30.T10TEL.2021094T184919.v2.0: wrote 8 files
[21/840] [25] HLS.S30.T10TCL.2021095T190911.v2.0: wrote 8 files
[22/840] [23] HLS.S30.T10TCM.2021095T190911.v2.0: wrote 8 files
[23/840] [24] HLS.S30.T10TDL.2021095T190911.v2.0: wrote 8 files
[24/840] [17] HLS.S30.T10TEM.2021094T184919.v2.0: wrote 8 files
[25/840] [16] HLS.S30.T10TFM.2021094T184919.v2.0: wrote 8 files
[26/840] [30] HLS.L30.T11TKF.2021096T184437.v2.0: wrote 8 files
[27/840] [28] HLS.L30.T10TFL.2021096T184437.v2.0: wrote 8 files
[28/840] [26] HLS.L30.T10TGM.2021096T184413.v2.0: wrote 8 files
[29/840] [32] HLS.L30.T10TGL.2021096T184437.v2.0: wrote 8 files
[30/840] [31] HLS.L30.T10TEL.2021096T184437.v2.0: wrote 8 files
[31/840] [22] HLS.S30.T10TDM.2021095T190911.v2.0: wrote 8 files
[32/840] [27] HLS.L30.T11TKG.2021096T184413.v2.0: wrote 8 files
[33/840] [37] HLS.S30.T10TFL.2021097T185919.v2.0: wrote 8 files
[34/840] [38] HLS.S30.T10TEL.2021097T185919.v2.0: wrote 8 files
[35/840] [39] HLS.S30.T10TDL.2021097T185919.v2.0: wrote 8 files
[36/840] [29] HLS.L30.T10TFM.2021096T184437.v2.0: wrote 8 files
[37/840] [33] HLS.L30.T10TEM.2021096T184437.v2.0: wrote 8 files
[38/840] [34] HLS.S30.T10TFM.2021097T185919.v2.0: wrote 8 files
[39/840] [35] HLS.S30.T10TEM.2021097T185919.v2.0: wrote 8 files
[40/840] [36] HLS.S30.T10TDM.2021097T185919.v2.0: wrote 8 files
[41/840] [44] HLS.S30.T11TKF.2021099T184911.v2.0: wrote 8 files
[42/840] [40] HLS.S30.T10TGM.2021099T184911.v2.0: wrote 8 files
[43/840] [41] HLS.S30.T11TKG.2021099T184911.v2.0: wrote 8 files
[44/840] [45] HLS.S30.T10TGL.2021099T184911.v2.0: wrote 8 files
[45/840] [46] HLS.S30.T10TFL.2021099T184911.v2.0: wrote 8 files
[46/840] [47] HLS.S30.T10TEL.2021099T184911.v2.0: wrote 8 files
[47/840] [51] HLS.S30.T10TCL.2021100T190909.v2.0: wrote 8 files
[48/840] [49] HLS.S30.T10TCM.2021100T190909.v2.0: wrote 8 files
[49/840] [50] HLS.S30.T10TDL.2021100T190909.v2.0: wrote 8 files
[50/840] [43] HLS.S30.T10TEM.2021099T184911.v2.0: wrote 8 files
[51/840] [42] HLS.S30.T10TFM.2021099T184911.v2.0: wrote 8 files
[52/840] [53] HLS.L30.T10TCM.2021101T190244.v2.0: wrote 8 files
[53/840] [58] HLS.S30.T10TFL.2021102T185911.v2.0: wrote 8 files
[54/840] [57] HLS.S30.T10TCM.2021102T185911.v2.0: wrote 8 files
[55/840] [48] HLS.S30.T10TDM.2021100T190909.v2.0: wrote 8 files
[56/840] [59] HLS.S30.T10TEL.2021102T185911.v2.0: wrote 8 files
[57/840] [61] HLS.S30.T10TCL.2021102T185911.v2.0: wrote 8 files
[58/840] [52] HLS.L30.T10TDM.2021101T190244.v2.0: wrote 8 files
[59/840] [60] HLS.S30.T10TDL.2021102T185911.v2.0: wrote 8 files
[60/840] [54] HLS.S30.T10TFM.2021102T185911.v2.0: wrote 8 files
[61/840] [55] HLS.S30.T10TEM.2021102T185911.v2.0: wrote 8 files
[62/840] [56] HLS.S30.T10TDM.2021102T185911.v2.0: wrote 8 files
[63/840] [65] HLS.L30.T10TDL.2021103T185045.v2.0: wrote 8 files
[64/840] [66] HLS.L30.T10TEL.2021103T185045.v2.0: wrote 8 files
[65/840] [67] HLS.L30.T10TFL.2021103T185045.v2.0: wrote 8 files
[66/840] [62] HLS.L30.T10TFM.2021103T185022.v2.0: wrote 8 files
[67/840] [72] HLS.S30.T11TKF.2021104T184919.v2.0: wrote 8 files
[68/840] [68] HLS.S30.T10TGM.2021104T184919.v2.0: wrote 8 files
[69/840] [64] HLS.L30.T10TDM.2021103T185045.v2.0: wrote 8 files
[70/840] [63] HLS.L30.T10TEM.2021103T185022.v2.0: wrote 8 files
[71/840] [69] HLS.S30.T11TKG.2021104T184919.v2.0: wrote 8 files
[72/840] [73] HLS.S30.T10TGL.2021104T184919.v2.0: wrote 8 files
[73/840] [74] HLS.S30.T10TFL.2021104T184919.v2.0: wrote 8 files
[74/840] [77] HLS.L30.T11TKF.2021105T183823.v2.0: wrote 8 files
[75/840] [75] HLS.S30.T10TEL.2021104T184919.v2.0: wrote 8 files
[76/840] [79] HLS.L30.T10TFL.2021105T183823.v2.0: wrote 8 files
[77/840] [70] HLS.S30.T10TFM.2021104T184919.v2.0: wrote 8 files
[78/840] [71] HLS.S30.T10TEM.2021104T184919.v2.0: wrote 8 files
[79/840] [80] HLS.L30.T10TGL.2021105T183823.v2.0: wrote 8 files
[80/840] [78] HLS.L30.T10TGM.2021105T183823.v2.0: wrote 8 files
[81/840] [76] HLS.L30.T11TKG.2021105T183823.v2.0: wrote 8 files
[82/840] [84] HLS.S30.T10TCL.2021105T190911.v2.0: wrote 8 files
[83/840] [82] HLS.S30.T10TCM.2021105T190911.v2.0: wrote 8 files
[84/840] [83] HLS.S30.T10TDL.2021105T190911.v2.0: wrote 8 files
[85/840] [88] HLS.S30.T10TCM.2021107T185909.v2.0: wrote 8 files
[86/840] [89] HLS.S30.T10TFL.2021107T185909.v2.0: wrote 8 files
[87/840] [90] HLS.S30.T10TEL.2021107T185909.v2.0: wrote 8 files
[88/840] [91] HLS.S30.T10TDL.2021107T185909.v2.0: wrote 8 files
[89/840] [81] HLS.S30.T10TDM.2021105T190911.v2.0: wrote 8 files
[90/840] [92] HLS.S30.T10TCL.2021107T185909.v2.0: wrote 8 files
[91/840] [85] HLS.S30.T10TFM.2021107T185909.v2.0: wrote 8 files
[92/840] [86] HLS.S30.T10TEM.2021107T185909.v2.0: wrote 8 files
[93/840] [97] HLS.S30.T11TKF.2021109T184911.v2.0: wrote 8 files
[94/840] [87] HLS.S30.T10TDM.2021107T185909.v2.0: wrote 8 files
[95/840] [93] HLS.S30.T10TGM.2021109T184911.v2.0: wrote 8 files
[96/840] [98] HLS.S30.T10TGL.2021109T184911.v2.0: wrote 8 files
[97/840] [94] HLS.S30.T11TKG.2021109T184911.v2.0: wrote 8 files
[98/840] [100] HLS.S30.T10TEL.2021109T184911.v2.0: wrote 8 files
[99/840] [99] HLS.S30.T10TFL.2021109T184911.v2.0: wrote 8 files
[100/840] [104] HLS.L30.T10TCL.2021110T185653.v2.0: wrote 8 files
[101/840] [103] HLS.L30.T10TEL.2021110T185653.v2.0: wrote 8 files
[102/840] [96] HLS.S30.T10TEM.2021109T184911.v2.0: wrote 8 files
[103/840] [95] HLS.S30.T10TFM.2021109T184911.v2.0: wrote 8 files
[104/840] [105] HLS.L30.T10TCM.2021110T185653.v2.0: wrote 8 files
[105/840] [106] HLS.L30.T10TDL.2021110T185653.v2.0: wrote 8 files
[106/840] [110] HLS.S30.T10TCL.2021110T190909.v2.0: wrote 8 files
[107/840] [108] HLS.S30.T10TCM.2021110T190909.v2.0: wrote 8 files
[108/840] [109] HLS.S30.T10TDL.2021110T190909.v2.0: wrote 8 files
[109/840] [102] HLS.L30.T10TEM.2021110T185629.v2.0: wrote 8 files
[110/840] [101] HLS.L30.T10TDM.2021110T185629.v2.0: wrote 8 files
[111/840] [116] HLS.L30.T11TKF.2021112T184430.v2.0: wrote 8 files
[112/840] [114] HLS.L30.T10TEL.2021112T184430.v2.0: wrote 8 files
[113/840] [115] HLS.L30.T10TFL.2021112T184430.v2.0: wrote 8 files
[114/840] [117] HLS.L30.T10TGL.2021112T184430.v2.0: wrote 8 files
[115/840] [111] HLS.L30.T10TGM.2021112T184406.v2.0: wrote 8 files
[116/840] [107] HLS.S30.T10TDM.2021110T190909.v2.0: wrote 8 files
[117/840] [112] HLS.L30.T11TKG.2021112T184406.v2.0: wrote 8 files
[118/840] [123] HLS.S30.T10TFL.2021112T185911.v2.0: wrote 8 files
[119/840] [122] HLS.S30.T10TCM.2021112T185911.v2.0: wrote 8 files
[120/840] [124] HLS.S30.T10TEL.2021112T185911.v2.0: wrote 8 files
[121/840] [113] HLS.L30.T10TFM.2021112T184430.v2.0: wrote 8 files
[122/840] [126] HLS.S30.T10TCL.2021112T185911.v2.0: wrote 8 files
[123/840] [125] HLS.S30.T10TDL.2021112T185911.v2.0: wrote 8 files
[124/840] [118] HLS.L30.T10TEM.2021112T184430.v2.0: wrote 8 files
[125/840] [119] HLS.S30.T10TFM.2021112T185911.v2.0: wrote 8 files
[126/840] [120] HLS.S30.T10TEM.2021112T185911.v2.0: wrote 8 files
[127/840] [121] HLS.S30.T10TDM.2021112T185911.v2.0: wrote 8 files
[128/840] [127] HLS.S30.T10TGM.2021114T184909.v2.0: wrote 8 files
[129/840] [131] HLS.S30.T11TKF.2021114T184909.v2.0: wrote 8 files
[130/840] [128] HLS.S30.T11TKG.2021114T184909.v2.0: wrote 8 files
[131/840] [132] HLS.S30.T10TGL.2021114T184909.v2.0: wrote 8 files
[132/840] [134] HLS.S30.T10TEL.2021114T184909.v2.0: wrote 8 files
[133/840] [133] HLS.S30.T10TFL.2021114T184909.v2.0: wrote 8 files
[134/840] [136] HLS.S30.T10TCM.2021115T190911.v2.0: wrote 8 files
[135/840] [138] HLS.S30.T10TCL.2021115T190911.v2.0: wrote 8 files
