run,epoch,train_loss,train_mae,val_loss,val_mae,lr
resnet101_version_1_6173,1,4129.2234,40.4251,3713.0582,39.6682,
resnet101_version_1_6173,2,3755.8456,37.6335,3713.0909,39.7607,
resnet101_version_1_6173,3,3694.3392,37.0832,3856.4448,42.567,
resnet101_version_1_6173,4,3650.1086,36.7737,3530.2369,35.6265,
resnet101_version_1_6173,5,3625.9987,36.559,3563.5187,34.763,
resnet101_version_1_6173,6,3606.6949,36.4104,4319.0871,37.6195,
resnet101_version_1_6173,7,3584.8158,36.2558,3521.65,37.2487,
resnet101_version_1_6173,8,3565.8826,36.1346,3743.6026,34.0598,
resnet101_version_1_6173,9,3552.3158,36.0046,3514.7051,37.8604,
resnet101_version_1_6173,10,3535.8922,35.8831,750496.503,145.6381,
resnet101_version_1_6173,11,3521.3427,35.7414,881029.1255,175.4896,
resnet101_version_1_6173,12,3514.0281,35.7078,1892150.5617,221.9062,
resnet101_version_1_6173,13,3504.4717,35.5599,272363.6264,75.6838,
resnet101_version_1_6173,14,3494.6421,35.5051,87010.5396,64.7936,
resnet101_version_1_6173,15,3491.3724,35.5158,205909.7569,89.2714,
resnet101_version_1_6173,16,3479.0544,35.4277,4792237.564,329.7398,
resnet101_version_1_6173,17,3468.1185,35.2852,1080544.0048,204.2956,
resnet101_version_1_6173,18,3460.3866,35.2764,1032847.726,154.7198,
resnet101_version_1_6173,19,3453.323,35.1976,810913.0468,114.781,
resnet101_version_1_6173,20,3442.6204,35.1109,680912.297,108.1788,
resnet101_version_1_6173,21,3438.008,35.064,3595.5617,35.4266,
resnet101_version_1_6173,22,3433.2308,35.0351,5197506.0576,274.9241,
resnet101_version_1_6173,23,3427.8768,34.9889,3146732.2785,208.7914,
resnet101_version_1_6173,24,3433.071,35.0108,26947026.4685,860.5772,
resnet101_version_1_6173,25,3423.4933,34.9475,16168956.1069,527.4791,
resnet101_version_1_6173,26,3416.9522,34.9043,68104127.0745,1231.3561,
resnet101_version_1_6173,27,3430.7335,35.009,81357636.2185,1550.7823,
resnet101_version_1_6173,28,3426.1914,35.0237,961586.3782,151.14,
resnet101_version_1_6173,29,3418.646,34.9349,590539.1474,122.0815,
resnet101_version_1_6173,30,3408.41,34.8482,26472566.1085,952.8831,
resnet101_version_1_6173,31,3419.9032,34.951,1623399.038,177.7125,
resnet101_version_1_6173,32,3411.3296,34.8644,93135.3731,74.0109,
resnet101_version_1_6173,33,3396.1665,34.7691,574224.9727,103.5664,
resnet101_version_1_6173,34,3392.435,34.7242,683596.6159,128.393,
resnet101_version_1_6173,35,3384.1631,34.6513,864486.9861,142.4367,
resnet101_version_1_6173,36,3376.4164,34.6114,6850674.3891,913.0005,
resnet101_version_1_6173,37,3422.8081,34.9777,23263000.2831,272.7288,
resnet101_version_1_6173,38,3463.5642,35.3476,425837.1425,61.9032,
resnet101_version_1_6173,39,3431.3347,35.0777,1357444.0982,674.5145,
resnet101_version_1_6173,40,3423.209,35.0194,3820.6302,35.7589,
resnet101_version_1_6173,41,3409.3971,34.9155,112968.6824,66.6607,
resnet101_version_1_6173,42,3388.4726,34.7699,87313.3349,53.4519,
resnet101_version_1_6173,43,3372.9218,34.618,2545191.4125,203.2401,
resnet101_version_1_6173,44,3368.3871,34.5924,23733631.5093,623.8829,
resnet101_version_1_6173,45,3358.9256,34.5282,4361804.901,175.1802,
resnet101_version_1_6173,46,3346.765,34.4573,3700.748,34.5058,
resnet101_version_1_6173,47,3346.4537,34.4512,139979942.1391,1534.0592,
resnet101_version_1_6173,48,3348.0601,34.4949,218223058.444,2044.056,
resnet101_version_1_6173,49,3341.0234,34.4611,1535763.3021,102.0244,
resnet101_version_1_6173,50,3335.8236,34.405,87711.1749,52.1179,
resnet101_version_1_6173,51,3334.8626,34.4286,10546308.8765,237.9693,
resnet101_version_1_6173,52,3328.1099,34.401,48299534.6434,886.5858,
resnet101_version_1_6173,53,3322.2555,34.3696,3685.1266,34.5458,
resnet101_version_1_6173,54,3313.9801,34.3105,23001645.3715,550.1978,
resnet101_version_1_6173,55,3308.5177,34.3023,43637580.7713,770.7404,
resnet101_version_1_6173,56,3301.2488,34.2578,3518.5403,35.0838,
resnet101_version_1_6173,57,3296.92,34.2181,54477390.2467,994.492,
resnet101_version_1_6173,58,3286.0091,34.1753,3647.8443,34.0868,
resnet101_version_1_6173,59,3279.5242,34.1453,3570.9586,34.301,
resnet101_version_1_6173,60,3278.7844,34.1248,3579.0875,34.6184,
resnet18_version4-5040,1,799.5157,21.8267,1278.984,25.2995,
resnet18_version4-5040,2,643.8113,18.5236,1097.3525,21.8414,
resnet18_version4-5040,3,297.4648,12.5245,860.4625,18.3098,
resnet18_version4-5040,4,298.0137,12.9446,700.299,17.6531,
resnet18_version4-5040,5,283.5127,11.4147,674.1241,18.1372,
resnet18_version4-5040,6,266.1324,11.2913,847.4362,23.3007,
resnet18_version4-5040,7,263.8285,11.3137,833.0227,23.0759,
resnet18_version4-5040,8,248.8422,11.2442,1731.8488,36.7192,
resnet18_version4-5040,9,221.8943,10.1384,1352.1401,31.2723,
resnet18_version4-5040,10,219.5186,10.2184,798.9528,21.7528,
resnet18_version4-5040,11,237.4583,10.915,798.4757,21.9379,
resnet18_version4-5040,12,226.1693,10.6413,953.2368,25.4836,
resnet18_version4-5040,13,229.1998,10.6613,697.9633,18.374,
resnet18_version4-5040,14,239.3134,10.4671,725.0232,19.5802,
resnet18_version4-5040,15,223.5488,10.5823,1165.2512,29.4038,
resnet18_version4-5040,16,241.75,10.8575,668.1503,18.6722,
resnet18_version4-5040,17,268.0311,10.3239,673.3671,18.3469,
resnet18_version4-5040,18,247.7689,11.6334,933.3721,26.004,
resnet18_version4-5040,19,254.147,11.0174,769.75,19.0261,
resnet18_version4-5040,20,283.9876,12.3566,721.8463,20.363,
resnet18_version4-5040,21,242.6389,10.8865,1008.26,26.0771,
resnet18_version4-5040,22,255.4496,11.7756,723.8985,19.8117,
resnet18_version4-5040,23,266.2026,11.2883,787.9087,17.4176,
resnet18_version4-5040,24,263.0658,11.8807,951.1017,25.5065,
resnet18_version4-5040,25,213.3522,10.6479,715.256,20.306,
resnet18_version4-5040,26,215.7596,9.9859,834.895,22.3094,
resnet18_version4-5040,27,240.1354,11.0472,687.9156,18.8492,
resnet18_version4-5040,28,222.1845,10.9653,764.4025,21.4699,
resnet18_version4-5040,29,267.9782,11.6158,838.0755,24.1098,
resnet18_version4-5040,30,213.6488,10.954,820.0404,23.6744,
resnet18_version4-5040,31,245.0506,11.0858,693.1462,19.8025,
resnet18_version4-5040,32,233.2871,10.6726,819.0071,22.5667,
resnet18_version4-5040,33,236.1458,10.6342,687.2853,17.4398,
resnet18_version4-5040,34,266.6619,11.8878,700.9955,17.6296,
resnet18_version4-5040,35,225.4491,9.889,679.6557,18.7285,
resnet18_version4-5040,36,224.7975,10.5353,767.1336,21.7054,
resnet18_version4-5040,37,224.2887,10.5619,742.6076,20.3761,
resnet18_version4-5040,38,249.2721,10.6959,767.6915,20.8329,
resnet18_version4-5040,39,219.8815,10.2146,946.3507,25.4996,
resnet18_version4-5040,40,211.1913,10.2452,872.3114,23.21,
resnet18_version4-5040,41,225.5217,10.492,785.7354,21.3227,
resnet18_version4-5040,42,203.1687,9.4335,818.9474,18.1029,
resnet18_version4-5040,43,212.4853,10.3117,881.7781,18.4763,
resnet18_version4-5040,44,197.9457,10.0077,1013.9943,26.7514,
resnet18_version4-5040,45,220.9333,10.6494,679.2843,17.3905,
resnet18_version4-5040,46,227.6772,10.3096,670.0567,18.766,
resnet18_version4-5040,47,233.2961,10.4703,805.5137,22.6223,
resnet18_version4-5040,48,217.1643,10.5473,1099.7229,28.5478,
resnet18_version4-5040,49,208.3821,10.0153,980.1932,25.8258,
resnet18_version4-5040,50,250.4725,10.3562,673.0272,17.8054,
resnet18_version4-5040,51,212.139,9.9277,685.6122,17.1579,
resnet18_version4-5040,52,212.5616,9.9971,685.1163,17.9402,
resnet18_version4-5040,53,200.5779,10.1042,699.1016,19.6019,
resnet18_version4-5040,54,201.6159,9.9065,765.3168,21.0235,
resnet18_version4-5040,55,202.7247,9.4919,823.5667,22.1204,
resnet18_version4-5040,56,213.0717,10.5619,885.856,23.7952,
resnet18_version4-5040,57,197.4374,9.6355,1400.0395,32.0832,
